"id_cata","code_cata","codbarra_cata","nomb_cata","id_fami","id_sgrup","id_grup","id_unid","id_marca","id_orig","id_colo","id_teji","id_tall","ubic_cata","pfob_cata","pcif_cata","esta_cata","id_emp","desc_cata","tipo_cata","stockmin_cata","combo_cata","textil_cata","gene_cata","gcmarca_cata"
"171","171","","H. SALTIMBANQUI - SN","42","68","49","5","1","1","0","0","0","","10.00","10.00","1","1","","2","10.00","0","0","0","0"
"172","172","","H.DUETO","42","68","49","5","1","1","0","0","0","","10.00","10.00","1","1","","2","10.00","0","0","0","0"
"173","SPRITE-5","","SPRITE PERSONAL  500 ML","2","46","26","1","4","2","0","0","0","","3.50","0.00","1","1","","2","0.00","0","0","0","1"
"174","SIMBA-1","","SIMBA PIÑA 2 LITROS","2","2","1","1","5","1","0","0","0","","7.58","7.58","1","1","","2","0.00","0","0","0","1"
"175","SIMBA-3","","SIMBA MANZANA 2 LTRS","2","45","26","1","5","1","0","0","0","","7.58","7.58","1","1","","2","0.00","0","0","0","1"
"176","SIMBA-4","","SIMBA DURAZNO 2 LTRS","2","45","26","1","5","1","0","0","0","","7.58","7.58","1","1","","2","0.00","0","0","0","1"
"177","SPRITE-1","","SPRITE 600 ML POPULAR","2","47","26","1","4","1","0","0","0","","0.00","0.00","0","1","","2","0.00","0","0","0","1"
"178","HELADOSCABRERA-1","","HELADOS ACEROLA + NARANJA","42","68","52","1","9","2","0","0","0","","0.00","0.00","1","1","","2","0.00","0","0","0","1"
"179","HELADOSCABRERA-2","","HELADOS SAL TIMBANQUI","42","68","52","1","9","2","0","0","0","","0.00","0.00","1","1","","2","0.00","0","0","0","1"
"180","HELADOSCABRERA-3","","HELADO SUNDAE","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"181","HELADOSCABRERA-4","","HELADO SANDWICH","42","68","52","1","9","2","0","0","0","","4.00","4.00","1","1","","2","0.00","0","0","0","1"
"182","135","","BAÑO (USO DE BAÑO)","43","2","22","1","1","2","0","0","0","","2.00","5.50","1","1","","2","0.00","0","0","0","0"
"183","HELADOSCABRERA-6","","HELADO MILENIUM CLASICO","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"184","HELADOSCABRERA-7","","HELADO MILENIUM BLANCO","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"185","HELADOSCABRERA-8","","HELADO MILENIUM SN","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"186","HELADOSCABRERA-9","","HELADO MILENIUM YOG. ROJOS","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"187","HELADOSCABRERA-10","","HELADO DUETO CARAMEL","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"188","HELADOSCABRERA-11","","HELADO DUETO CHOCOLATE","42","68","52","1","9","2","0","0","0","","5.50","5.50","1","1","","2","0.00","0","0","0","1"
"189","HELADOSCABRERA-12","","HELADO YOG. NATURAL 1/2 LT.","42","68","51","1","9","2","0","0","0","","12.00","12.00","1","1","","2","0.00","0","0","0","1"
"190","HELADOSCABRERA-13","","HELADO YOG. GOLDEN BERRIES 1/2 LT","42","68","51","1","9","2","0","0","0","","12.00","12.00","1","1","","2","0.00","0","0","0","1"
"191","HELADOSCABRERA-14","","HELADO YOG. FRUTOS ROJOS 1/2 LT","42","68","51","1","9","2","0","0","0","","12.00","12.00","1","1","","2","0.00","0","0","0","1"
"192","HELADOSCABRERA-15","","BROWNIE CON HELADO","42","68","49","1","9","2","0","0","0","","2.00","22.00","1","1","","2","0.00","0","0","0","1"
"193","HELADOSCABRERA-16","","HELADO YOG. GOLDEN BERRIES 1 LT","42","68","51","1","9","2","0","0","0","","22.00","22.00","1","1","","2","0.00","0","0","0","1"
"194","VARIOS-114","","EMPANADAS JAMON Y QUESO","41","68","51","1","1","2","0","0","0","","22.00","22.00","1","1","","2","0.00","0","0","0","1"
"195","VARIOS-105","","PAY DE LIMON (SNACK)","41","67","48","1","1","2","0","0","0","","13.00","13.00","1","1","ANTES HELADOS","2","0.00","0","0","0","1"
"196","VARIOS-104","","SUBMARINO","41","67","48","1","1","2","0","0","0","","13.00","13.00","1","1","ANTES HELADO","2","0.00","0","0","0","1"
"197","HELADOSCABRERA-20","","SALSA EXTRA","42","68","51","1","9","2","0","0","0","","1.00","12.50","1","1","","2","0.00","0","0","0","1"
"198","HELADOSCABRERA-21","","ECONOMICO BROASTER","42","68","51","1","9","2","0","0","0","","1.00","12.50","1","1","","2","0.00","0","0","0","1"
"199","077","","BURGER - CHILI (V)","1","3","1","1","1","2","0","0","0","","12.50","12.50","1","1","","2","0.00","0","0","0","0"
